Date,Open,High,Low,Close,Adj Close,Volume
2013-10-23,40.493336,40.946667,40.146667,40.906666,38.854218,424800
2013-10-24,41.176666,41.726665,41.033333,41.526669,39.443115,462600
2013-10-25,42.040001,42.040001,41.126667,41.506664,39.424114,822300
2013-10-28,41.910000,41.973331,41.130001,41.439999,39.360798,525900
2013-10-29,41.716667,41.716667,41.013332,41.560001,39.474777,317100
2013-10-30,41.676666,41.763332,39.883335,40.116665,38.103851,1509300
2013-10-31,40.083332,40.286667,39.153332,39.663334,37.673275,1378500
2013-11-01,39.943333,40.166668,39.443333,39.873333,37.872730,716400
2013-11-04,40.049999,40.369999,39.950001,40.240002,38.221008,631800
2013-11-05,40.450001,40.450001,39.639999,40.303333,38.281166,504000
2013-11-06,40.433334,40.516666,38.723331,38.803333,36.856415,2025900
2013-11-07,38.886669,39.536667,38.040001,38.076668,36.166214,1356300
2013-11-08,38.420002,39.986668,38.420002,39.639999,37.651108,1725000
2013-11-11,39.736668,40.173332,39.466667,40.119999,38.107033,327000
2013-11-12,39.593334,39.686665,38.920002,39.653332,37.663769,1514400
2013-11-13,39.306667,40.023335,39.180000,40.006664,37.999378,648300
2013-11-14,40.173332,40.220001,39.683334,39.980000,37.974056,855000
2013-11-15,39.980000,40.703335,39.963333,40.683334,38.642101,382200
2013-11-18,40.843334,41.013332,39.573334,39.683334,37.692276,1028700
2013-11-19,39.670002,40.160000,39.263332,39.773335,37.777752,1063800
2013-11-20,40.026669,40.633335,39.716667,40.143333,38.129185,725100
2013-11-21,40.303333,41.133335,40.303333,41.013332,38.955536,723300
2013-11-22,41.666668,42.053333,41.399998,41.953335,39.848370,833700
2013-11-25,42.209999,42.706665,41.826668,42.343334,40.218815,497700
2013-11-26,42.529999,42.983334,42.383335,42.846664,40.696880,698700
2013-11-27,43.083332,43.186665,42.639999,43.106670,40.943840,1290900
2013-11-29,43.303333,43.776669,43.250000,43.496670,41.314278,838200
2013-12-02,43.573334,43.809998,43.203335,43.726665,41.532730,2586600
2013-12-03,43.656666,43.656666,42.883331,43.186665,41.019825,1720200
2013-12-04,42.973331,43.380001,42.736668,43.169998,41.003990,714900
2013-12-05,43.123333,43.333332,42.583332,42.636669,40.497425,321600
2013-12-06,43.169998,43.173336,42.119999,42.726665,40.582909,388200
2013-12-09,42.853333,43.090000,42.086666,42.416668,40.288464,508800
2013-12-10,42.403332,42.516666,41.713333,42.113331,40.000347,663000
2013-12-11,42.083332,42.083332,40.456669,40.573334,38.537617,1099800
2013-12-12,40.433334,41.363331,40.433334,41.193333,39.126503,1095600
2013-12-13,41.369999,41.416668,40.670002,41.033333,38.974537,539100
2013-12-16,41.183334,41.793331,41.026669,41.126667,39.063187,480900
2013-12-17,41.096668,41.096668,40.323334,40.560001,38.524944,2024700
2013-12-18,40.703335,41.616665,40.426666,41.563335,39.477947,809700
2013-12-19,41.563335,41.910000,41.336666,41.590000,39.503273,486300
2013-12-20,41.720001,42.579998,41.666668,42.496666,40.401146,943800
2013-12-23,42.669998,43.353333,42.669998,43.289997,41.155350,485700
